City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Kanbe,16.7053,96.0017,77.05,67,99,3.76,MM,2022-04-02 19:17:12
108,Kaitangata,-46.2817,169.8464,49.41,93,32,6.78,NZ,2022-04-02 19:17:13
109,Coahuayana,18.7333,-103.6833,86.83,42,83,7.74,MX,2022-04-02 19:17:13
110,Chuy,-33.6971,-53.4616,70.48,49,10,10.6,UY,2022-04-02 19:17:13
111,Mossendjo,-2.9506,12.7261,70.93,96,84,2.8,CG,2022-04-02 19:17:14
112,Birao,10.2849,22.7882,86.67,12,38,6.13,CF,2022-04-02 19:17:14
113,Fortuna,40.5982,-124.1573,60.85,61,0,12.66,US,2022-04-02 19:17:15
114,Perpignan,42.75,2.75,42.44,48,20,16.11,FR,2022-04-02 19:17:15
115,Westport,41.1415,-73.3579,55.27,38,0,10.36,US,2022-04-02 19:17:16
116,Yulara,-25.2406,130.9889,57.78,44,0,9.31,AU,2022-04-02 19:17:16
117,Klaksvik,62.2266,-6.589,45.52,88,100,18.86,FO,2022-04-02 19:17:17
118,Shimoda,34.6667,138.95,45.1,85,100,9.44,JP,2022-04-02 19:15:54
119,Mozarlandia,-14.7447,-50.5706,89.02,51,5,6.42,BR,2022-04-02 19:17:18
120,Kavieng,-2.5744,150.7967,77.09,89,100,5.41,PG,2022-04-02 19:17:18
121,Uvira,-3.4067,29.1458,73.72,83,100,2.35,CD,2022-04-02 19:17:18
122,Maumere,-8.6199,122.2111,78.64,82,59,4.03,ID,2022-04-02 19:17:19
123,Port Elizabeth,-33.918,25.5701,64.09,92,40,2.3,ZA,2022-04-02 19:17:19
124,Hobart,-42.8794,147.3294,55.26,84,100,8.05,AU,2022-04-02 19:15:02
125,San Isidro,-12.1167,-77.05,71.19,68,0,11.5,PE,2022-04-02 19:17:20
126,Adeje,28.1227,-16.726,65.01,73,75,5.75,ES,2022-04-02 19:14:17
127,Vardo,70.3705,31.1107,26.62,70,100,3.94,NO,2022-04-02 19:17:20
128,Geraldton,-28.7667,114.6,73.81,94,100,5.75,AU,2022-04-02 19:17:21
129,Rio Gallegos,-51.6226,-69.2181,53.65,54,40,19.57,AR,2022-04-02 19:17:21
130,Waipawa,-41.4122,175.5153,53.4,93,31,3.69,NZ,2022-04-02 19:17:22
