City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
347,Salinopolis,BR,81.63,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
349,Bucerias,MX,76.98,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
354,Lompoc,US,71.69,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
355,Angoche,MZ,78.6,-16.2325,39.9086,Guest House HESADA
372,Cayenne,GF,80.1,4.9333,-52.3333,Hôtel Le Dronmi
378,Soyo,AO,78.64,-6.1349,12.3689,Hotel Mpampa
379,Mulege,MX,80.19,26.8833,-111.9833,Casa Granada
386,Marsh Harbour,BS,78.6,26.5412,-77.0636,Abaco Beach Resort
387,Tres Arroyos,AR,70.7,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
388,Port Blair,IN,81.84,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
391,Kahului,US,78.82,20.8947,-156.47,Maui Seaside Hotel
393,Langsa,ID,73.81,4.4683,97.9683,OYO 2964 Hotel Ridho
394,Tabas,IR,73.22,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
395,Ewa Beach,US,79.59,21.3156,-158.0072,Base Lodging
397,Banjar,ID,75.88,-8.19,114.9675,The Hamsa Resort
400,San Francisco Del Mar,MX,83.37,16.2333,-94.65,
402,Payo,ID,73.74,-3.7508,103.6372,Mess keban agung
403,Grand-Santi,GF,79.83,4.25,-54.3833,Hotel La Villa Couacou
404,Sambava,MG,76.66,-14.2667,50.1667,Melrose
406,Le Port,RE,77.0,-20.9373,55.2919,KORBEY D'OR OUEST
407,Bengkulu,ID,76.05,-3.8004,102.2655,Grage Hotel Bengkulu
408,Soc Trang,VN,79.81,9.6033,105.98,Phu Quy Hotel
409,Qui Nhon,VN,72.59,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
412,Pucallpa,PE,77.04,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
413,Agboville,CI,79.79,5.928,-4.2132,hotel LE PRESTIGE
416,Sakaraha,MG,71.76,-22.9,44.5333,Le Relais
417,Bage,BR,73.99,-31.3314,-54.1069,Hotel Obino - Bagé
419,Muisne,EC,81.5,0.6,-80.0333,Quinta Samay
420,Nsanje,MW,72.79,-16.92,35.262,Nsanje Discovery Lodge
422,Namatanai,PG,77.11,-3.6667,152.4333,Seagulls Inn Namatani
423,Kochinda,IN,78.33,21.7333,84.35,Shristi Lodge
424,Vangaindrano,MG,70.93,-23.35,47.6,Hotel Fanilo
430,Gat,IL,72.39,31.61,34.7642,OlusHome
432,Naifaru,MV,82.2,5.4444,73.3657,Naifaru Residence Guest House
433,Atraulia,IN,77.9,26.3333,82.95,ShivKunj
438,Tevaitoa,PF,82.09,-16.7833,-151.5,Hôtel Raiatea Lodge
439,Nacala,MZ,75.02,-14.5428,40.6728,Nacala Plaza Business Design Hotel
443,Alangayam,IN,73.53,12.6,78.75,Vinoth Lodge
444,Lae,PG,75.43,-6.7221,146.9847,Phils Hotel
449,Tubuala,PA,80.69,9.5167,-79.0333,Río Nabagana
450,Muscat,OM,80.62,23.6139,58.5922,Mutrah Hotel
451,Contamana,PE,82.22,-7.3333,-75.0167,Shiringal Touristic Park
452,Beloha,MG,71.83,-25.1667,45.05,
455,Ambulu,ID,74.84,-8.345,113.6058,Hotel Ambulu Jember
460,Padang,ID,76.19,-0.9492,100.3543,Mercure Padang
464,Merritt Island,US,81.09,28.5392,-80.672,
471,Praia,CV,73.94,14.9215,-23.5087,LT Aparthotel
473,Sao Filipe,CV,71.56,14.8961,-24.4956,Hotel Xaguate
475,Davila,PH,77.18,18.4726,120.5763,Blue Ridge Beach Resort
483,Thinadhoo,MV,82.87,0.5333,72.9333,
486,Funtua,NG,82.63,11.5233,7.3081,Sani Jikan Mallam Hotel
489,Namibe,AO,71.29,-15.1961,12.1522,Hotel Chik Chik Namibe
493,Richards Bay,ZA,72.57,-28.783,32.0377,BON Hotel Waterfront Richards Bay
498,Minas,UY,70.45,-34.3759,-55.2377,Hotel Minas
504,Lajedo,BR,76.26,-8.6636,-36.32,Pousada Correia
505,Abengourou,CI,75.42,6.7297,-3.4964,Hotel des Princes
507,Port-Gentil,GA,80.2,-0.7193,8.7815,Fengshui Residence
510,Kawalu,ID,72.64,-7.3817,108.2082,West Jontor
515,Port Keats,AU,77.88,-14.25,129.55,TDC Village (Hundred Man Camp)
516,Wagar,SD,84.74,16.1525,36.2032,
517,Acatlan,MX,80.42,20.15,-98.45,Rancho La Laja
519,Tadine,NC,79.81,-21.55,167.8833,
521,Akyab,MM,79.2,20.15,92.9,Hotel Memory
522,Harper,LR,79.83,4.375,-7.7169,Screensaver
523,Isangel,VU,81.0,-19.55,169.2667,Tanna Lodge
524,Camocim,BR,78.96,-2.9022,-40.8411,Ilha Praia Hotel
530,Gigmoto,PH,77.81,13.7796,124.39,Cj's Travellers Inn
532,Gizo,SB,80.46,-8.103,156.8419,Imagination Island
541,San Policarpo,PH,79.52,12.1791,125.5072,Agapita M. Nicart
543,Sao Joao Dos Patos,BR,73.78,-6.495,-43.7022,Montesino Hotel & Restaurante
545,Morro Bay,US,77.58,35.3658,-120.8499,Inn at Morro Bay
550,Carnot,CF,78.75,4.9409,15.8665,
551,Ahuimanu,US,78.51,21.4447,-157.8378,Paradise Bay Resort
554,Lamu,KE,84.42,-2.2717,40.902,Lamu House
555,Hambantota,LK,79.0,6.1241,81.1185,Bungalow 63
565,Jesup,US,73.33,31.6074,-81.8854,Western Motel
572,Karaton,ID,74.14,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
573,Dharan,NP,73.33,26.8125,87.2835,Hotel Kanchanjunga
